flat_id	rooms	studio	total_area	living_area	kitchen_area	refit	prepayment	view_from_windows	balconies	floor	floors	deposit	utility_bills	ceiling_height	gaz	garbage_chute	building_year	walls	ceiling_type	rent	можно с детьми	микроволновая печь	интернет	парк	закрытая территория	кондиционер	стиральная машина	холодильник	посудомоечная машина	мебель в комнатах	можно с животными	плита	мебель на кухне	телевизор	фитнес
2061974486	1	0	50.0	26.0	12.0	design				2	4	120000	no	3.5	1	0	1989	brick	ferroc	120000	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0
2061710294	0	1	50.0		6.0	euro			1	4	4	49000			0	0	2008	mono	ferroc	49000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2061546377	0	1	12.0	10.0	2.0	cosm				1	5	30000			1	0	1916	brick	mixed	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2062114298	1	0	36.4	18.0	7.0	cosm		street		5	6	42000	no	2.6	1	1	1990	brick	ferroc	42000	1	0	1	0	0	0	1	1	0	1	1	0	0	1	0
2061460360	2	0	55.1		15.0	design			1	10	14	90000			0	0	2022	mixed	ferroc	90000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2061706475	2	0	70.0			design				4	5	100000	by_counters		1	0	1875	brick	mixed	110000	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0
2061671678	0	1	23.0	19.0						8	18	42000	no	2.5	0	0	2019	mono	ferroc	42000	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0
2061510799	2	0	80.0	35.0	30.0	design				3	5	189000	no		0	0	1899	brick	mixed	185000	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0
2062019508	1	0	36.0			cosm	1			2	24				0	0	2023	mono	ferroc	47500	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2061973152	2	0	64.0			euro	1	street	1	7	14	50000	no		1	1	2010	mixed	ferroc	70000	0	1	1	1	0	0	1	1	0	1	0	1	1	1	1
2060062528	0	1	27.0	18.0	5.0	design		street		8	10	44820	no		1	0	2020	mono	ferroc	54000	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0
2061774806	0	1	25.5	14.0	4.0	euro		yard	1	3	5	28000			0	0	2021	mono	ferroc	28000	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0
2061737224	2	0	77.9	41.4	27.8	design				3	9	350000	no		0	0	2021	mono	ferroc	350000	0	0	1	0	0	0	1	1	1	1	0	0	1	1	0
2061187817	2	0	102.0	64.0	27.0	design				2		120000	no		0	0				120000	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0
2062066164	3	0	122.0		10.0	design		both	1	6	7	200000	no		1	0	1916	brick	mixed	200000	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2061840559	3	0	85.7	36.7	26.8	euro	110000	yard	1	6	22	110000	no	2.8	0	0	2020	mono	ferroc	110000	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0
2061412572	4	0	150.0	100.0	18.0	design		both		5	4	160000	no		1	0	1883	brick	wood	160000	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0
2061949628	1	0	47.9	12.8	22.5	euro		street	1	7	13	55500	no		1	0	2018	ferroc	mono	55500	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0
2062102505	1	0	35.0	15.0	9.0	euro		street	1	12	12	50000	no		1	0	2019	mixed	ferroc	50000	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0
2060812673	2	0	57.9	30.6	11.6					4	10				0	0	1997	panel	ferroc	40000	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0
